ref_area.label,indicator.label,source.label,time,obs_value,note_indicator.label,note_source.label
Australia,Collective bargaining coverage rate (%),"AUS - OS - Estimations based on administrative data, collective agreements and awards",2010,51.2,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Australia,Collective bargaining coverage rate (%),"AUS - OS - Estimations based on administrative data, collective agreements and awards",2012,50.1,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Australia,Collective bargaining coverage rate (%),"AUS - OS - Estimations based on administrative data, collective agreements and awards",2014,50.6,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Australia,Collective bargaining coverage rate (%),"AUS - OS - Estimations based on administrative data, collective agreements and awards",2016,47.1,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2000,98,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2001,98,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2002,98,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2003,98,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2004,98,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2005,98,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2006,98,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2007,98,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2008,98,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2009,98,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2010,98,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2011,98,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2012,98,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2013,98,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2014,98,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2015,98,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Austria,Collective bargaining coverage rate (%),AUT - OS - Estimations based on records from the Austrian Economic Chambers (Wirtschaftskammer),2016,98,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2000,96,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2001,96,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2002,96,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2003,96,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2004,96,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2005,96,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2006,96,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2007,96,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2008,96,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2009,96,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2010,96,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2011,96,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2012,96,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2013,96,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2014,96,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2015,96,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Belgium,Collective bargaining coverage rate (%),BEL - ADM - Records from the National Labour Council,2016,96,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Bangladesh,Collective bargaining coverage rate (%),BGD - ADM - Administrative records,2006,5,Collective bargaining coverage: Not adjusted for the right to collective bargaining,
Bulgaria,Collective bargaining coverage rate (%),BGR - ADM-CA - NICA's registry of collective labour agreements,2011,10.6,Collective bargaining coverage: Refers only to establishments submitting reports to NICA,
Bulgaria,Collective bargaining coverage rate (%),BGR - ADM-CA - NICA's registry of collective labour agreements,2012,12.8,Collective bargaining coverage: Refers only to establishments submitting reports to NICA,
Bulgaria,Collective bargaining coverage rate (%),BGR - ADM-CA - NICA's registry of collective labour agreements,2013,12.5,Collective bargaining coverage: Refers only to establishments submitting reports to NICA,
Bulgaria,Collective bargaining coverage rate (%),BGR - ADM-CA - NICA's registry of collective labour agreements,2014,12.2,Collective bargaining coverage: Refers only to establishments submitting reports to NICA,
Bulgaria,Collective bargaining coverage rate (%),BGR - ADM-CA - NICA's registry of collective labour agreements,2015,11.6,Collective bargaining coverage: Refers only to establishments submitting reports to NICA,
Bulgaria,Collective bargaining coverage rate (%),BGR - ADM-CA - NICA's registry of collective labour agreements,2016,10.8,Collective bargaining coverage: Refers only to establishments submitting reports to NICA,
Bosnia and Herzegovina,Collective bargaining coverage rate (%),BIH - OS - Estimations based on administrative data,2012,50,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Belize,Collective bargaining coverage rate (%),BLZ - ADM - National Trade Union Congress,2011,9.5,Collective bargaining coverage: Not adjusted for the right to collective bargaining,
Belize,Collective bargaining coverage rate (%),BLZ - ADM - National Trade Union Congress,2012,9.1,Collective bargaining coverage: Not adjusted for the right to collective bargaining,
Brazil,Collective bargaining coverage rate (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,2009,58.8,Collective bargaining coverage: Adjusted for the right to collective bargaining,"Reference group coverage: Employees, excluding domestic services"
Brazil,Collective bargaining coverage rate (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,2011,63.1,Collective bargaining coverage: Adjusted for the right to collective bargaining,"Reference group coverage: Employees, excluding domestic services"
Brazil,Collective bargaining coverage rate (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,2012,63.8,Collective bargaining coverage: Adjusted for the right to collective bargaining,"Reference group coverage: Employees, excluding domestic services"
Brazil,Collective bargaining coverage rate (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,2013,65.7,Collective bargaining coverage: Adjusted for the right to collective bargaining,"Reference group coverage: Employees, excluding domestic services"
Brazil,Collective bargaining coverage rate (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,2014,70.5,Collective bargaining coverage: Adjusted for the right to collective bargaining,"Reference group coverage: Employees, excluding domestic services"
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2000,32.3,Collective bargaining coverage: Employees who are members of a union and employees who are not union members but are covered by a collective agreement or union contract,
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2001,32.3,Collective bargaining coverage: Employees who are members of a union and employees who are not union members but are covered by a collective agreement or union contract,
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2002,32.2,Collective bargaining coverage: Employees who are members of a union and employees who are not union members but are covered by a collective agreement or union contract,
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2003,32.2,Collective bargaining coverage: Employees who are members of a union and employees who are not union members but are covered by a collective agreement or union contract,
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2004,31.7,Collective bargaining coverage: Employees who are members of a union and employees who are not union members but are covered by a collective agreement or union contract,
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2005,32,Collective bargaining coverage: Employees who are members of a union and employees who are not union members but are covered by a collective agreement or union contract,
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2006,31.7,Collective bargaining coverage: Employees who are members of a union and employees who are not union members but are covered by a collective agreement or union contract,
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2007,31.6,Collective bargaining coverage: Employees who are members of a union and employees who are not union members but are covered by a collective agreement or union contract,
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2008,31.2,Collective bargaining coverage: Employees who are members of a union and employees who are not union members but are covered by a collective agreement or union contract,
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2009,31.5,Collective bargaining coverage: Employees who are members of a union and employees who are not union members but are covered by a collective agreement or union contract,
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2010,31.4,Collective bargaining coverage: Employees who are members of a union and employees who are not union members but are covered by a collective agreement or union contract,
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2011,31,Collective bargaining coverage: Employees who are members of a union and employees who are not union members but are covered by a collective agreement or union contract,
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2012,31.3,Collective bargaining coverage: Employees who are members of a union and employees who are not union members but are covered by a collective agreement or union contract,
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2013,31.1,Collective bargaining coverage: Employees who are members of a union and employees who are not union members but are covered by a collective agreement or union contract,
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2014,30.4,Collective bargaining coverage: Employees who are members of a union and employees who are not union members but are covered by a collective agreement or union contract,
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2015,30.6,Collective bargaining coverage: Employees who are members of a union and employees who are not union members but are covered by a collective agreement or union contract,
Canada,Collective bargaining coverage rate (%),CAN - LFS - Labour Force Survey,2016,30.3,Collective bargaining coverage: Employees who are members of a union and employees who are not union members but are covered by a collective agreement or union contract,
Switzerland,Collective bargaining coverage rate (%),CHE - OS - Estimations based on administrative data,2001,39.9,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Switzerland,Collective bargaining coverage rate (%),CHE - OS - Estimations based on administrative data,2003,41.7,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Switzerland,Collective bargaining coverage rate (%),CHE - OS - Estimations based on administrative data,2005,44.6,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Switzerland,Collective bargaining coverage rate (%),CHE - OS - Estimations based on administrative data,2007,44.7,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Switzerland,Collective bargaining coverage rate (%),CHE - OS - Estimations based on administrative data,2009,44.7,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Switzerland,Collective bargaining coverage rate (%),CHE - OS - Estimations based on administrative data,2010,47.2,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Switzerland,Collective bargaining coverage rate (%),CHE - OS - Estimations based on administrative data,2012,49.7,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Switzerland,Collective bargaining coverage rate (%),CHE - OS - Estimations based on administrative data,2013,49.4,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Switzerland,Collective bargaining coverage rate (%),CHE - OS - Estimations based on administrative data,2014,49.2,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Chile,Collective bargaining coverage rate (%),CHL - ADM - Registros Administrativos de la Dirección del Trabajo,2009,26.6,,Data reference period: End of the year | Institutional sector coverage: Private sector only | Reference group coverage: Employees
Chile,Collective bargaining coverage rate (%),CHL - ADM - Registros Administrativos de la Dirección del Trabajo,2010,25,,Data reference period: End of the year | Institutional sector coverage: Private sector only | Reference group coverage: Employees
Chile,Collective bargaining coverage rate (%),CHL - ADM - Registros Administrativos de la Dirección del Trabajo,2011,15.6,,Data reference period: End of the year | Institutional sector coverage: Private sector only | Reference group coverage: Employees
Chile,Collective bargaining coverage rate (%),CHL - ADM - Registros Administrativos de la Dirección del Trabajo,2012,16.6,,Data reference period: End of the year | Institutional sector coverage: Private sector only | Reference group coverage: Employees
Chile,Collective bargaining coverage rate (%),CHL - ADM - Registros Administrativos de la Dirección del Trabajo,2013,17.3,,Data reference period: End of the year | Institutional sector coverage: Private sector only | Reference group coverage: Employees
Chile,Collective bargaining coverage rate (%),CHL - ADM - Registros Administrativos de la Dirección del Trabajo,2014,18.1,,Data reference period: End of the year | Institutional sector coverage: Private sector only | Reference group coverage: Employees
Chile,Collective bargaining coverage rate (%),CHL - ADM - Registros Administrativos de la Dirección del Trabajo,2015,17.6,,Data reference period: End of the year | Institutional sector coverage: Private sector only | Reference group coverage: Employees
Chile,Collective bargaining coverage rate (%),CHL - ADM - Registros Administrativos de la Dirección del Trabajo,2016,17.9,,Data reference period: End of the year | Institutional sector coverage: Private sector only | Reference group coverage: Employees
China,Collective bargaining coverage rate (%),CHN - ADM-RWO - Records of workers' organizations (ACFTU Statistical bulletin),2000,18.1,Collective bargaining coverage: Not adjusted for the right to collective bargaining | Collective bargaining coverage: Workers covered by collective contracts. The law mandates the official union to represent workers' interests in a process of collective consultation with employers over wages and other concerns of conditions of work. The legal provisions for collective consultation do not provide for workers or employers to carry out protected industrial action.,
China,Collective bargaining coverage rate (%),CHN - ADM-RWO - Records of workers' organizations (ACFTU Statistical bulletin),2006,16.1,Collective bargaining coverage: Not adjusted for the right to collective bargaining | Collective bargaining coverage: Workers covered by collective contracts. The law mandates the official union to represent workers' interests in a process of collective consultation with employers over wages and other concerns of conditions of work. The legal provisions for collective consultation do not provide for workers or employers to carry out protected industrial action.,
China,Collective bargaining coverage rate (%),CHN - ADM-RWO - Records of workers' organizations (ACFTU Statistical bulletin),2008,22.3,Collective bargaining coverage: Not adjusted for the right to collective bargaining | Collective bargaining coverage: Workers covered by collective contracts. The law mandates the official union to represent workers' interests in a process of collective consultation with employers over wages and other concerns of conditions of work. The legal provisions for collective consultation do not provide for workers or employers to carry out protected industrial action.,
China,Collective bargaining coverage rate (%),CHN - ADM-RWO - Records of workers' organizations (ACFTU Statistical bulletin),2009,23.4,Collective bargaining coverage: Not adjusted for the right to collective bargaining | Collective bargaining coverage: Workers covered by collective contracts. The law mandates the official union to represent workers' interests in a process of collective consultation with employers over wages and other concerns of conditions of work. The legal provisions for collective consultation do not provide for workers or employers to carry out protected industrial action.,
China,Collective bargaining coverage rate (%),CHN - ADM-RWO - Records of workers' organizations (ACFTU Statistical bulletin),2010,26.7,Collective bargaining coverage: Not adjusted for the right to collective bargaining | Collective bargaining coverage: Workers covered by collective contracts. The law mandates the official union to represent workers' interests in a process of collective consultation with employers over wages and other concerns of conditions of work. The legal provisions for collective consultation do not provide for workers or employers to carry out protected industrial action.,
China,Collective bargaining coverage rate (%),CHN - ADM-RWO - Records of workers' organizations (ACFTU Statistical bulletin),2011,32.6,Collective bargaining coverage: Not adjusted for the right to collective bargaining | Collective bargaining coverage: Workers covered by collective contracts. The law mandates the official union to represent workers' interests in a process of collective consultation with employers over wages and other concerns of conditions of work. The legal provisions for collective consultation do not provide for workers or employers to carry out protected industrial action.,
China,Collective bargaining coverage rate (%),CHN - ADM-RWO - Records of workers' organizations (ACFTU Statistical bulletin),2012,39.3,Collective bargaining coverage: Not adjusted for the right to collective bargaining | Collective bargaining coverage: Workers covered by collective contracts. The law mandates the official union to represent workers' interests in a process of collective consultation with employers over wages and other concerns of conditions of work. The legal provisions for collective consultation do not provide for workers or employers to carry out protected industrial action.,
China,Collective bargaining coverage rate (%),CHN - ADM-RWO - Records of workers' organizations (ACFTU Statistical bulletin),2013,40.6,Collective bargaining coverage: Not adjusted for the right to collective bargaining | Collective bargaining coverage: Workers covered by collective contracts. The law mandates the official union to represent workers' interests in a process of collective consultation with employers over wages and other concerns of conditions of work. The legal provisions for collective consultation do not provide for workers or employers to carry out protected industrial action.,
Colombia,Collective bargaining coverage rate (%),COL - OE - Estimates based on various administrative records,2008,0.8,,
Colombia,Collective bargaining coverage rate (%),COL - OE - Estimates based on various administrative records,2009,1.1,,
Colombia,Collective bargaining coverage rate (%),COL - OE - Estimates based on various administrative records,2010,0.7,,
Colombia,Collective bargaining coverage rate (%),COL - OE - Estimates based on various administrative records,2011,1,,
Colombia,Collective bargaining coverage rate (%),COL - OE - Estimates based on various administrative records,2012,0.9,,
Colombia,Collective bargaining coverage rate (%),COL - OE - Estimates based on various administrative records,2013,10.7,,
Colombia,Collective bargaining coverage rate (%),COL - OE - Estimates based on various administrative records,2014,12.3,,
Colombia,Collective bargaining coverage rate (%),COL - OE - Estimates based on various administrative records,2015,14.5,,
Colombia,Collective bargaining coverage rate (%),COL - OE - Estimates based on various administrative records,2016,15.7,,
Costa Rica,Collective bargaining coverage rate (%),CRI - ADM - Administrative records of the Ministry of Labour and Social Security,2011,4.6,,
Costa Rica,Collective bargaining coverage rate (%),CRI - ADM - Administrative records of the Ministry of Labour and Social Security,2012,4.2,,
Costa Rica,Collective bargaining coverage rate (%),CRI - ADM - Administrative records of the Ministry of Labour and Social Security,2013,9.5,,
Costa Rica,Collective bargaining coverage rate (%),CRI - ADM - Administrative records of the Ministry of Labour and Social Security,2014,9.3,,
Costa Rica,Collective bargaining coverage rate (%),CRI - ADM - Administrative records of the Ministry of Labour and Social Security,2015,9.3,,
Costa Rica,Collective bargaining coverage rate (%),CRI - ADM - Administrative records of the Ministry of Labour and Social Security,2016,10.6,,
Cuba,Collective bargaining coverage rate (%),CUB - ADM-RWO - Registros de la Central de Trabajadores de Cuba,2008,81.4,Collective bargaining coverage: Not adjusted for the right to collective bargaining,Reference group coverage: Employees
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2000,65.1,,
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2001,62.1,,
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2002,63.2,,
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2003,64,,
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2004,62.7,,
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2005,59.8,,
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2006,58.1,,
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2007,54.6,,
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2008,52.9,,
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2009,52.4,,
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2010,50,,
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2011,48.6,,
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2012,48.5,,
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2013,48.6,,
Cyprus,Collective bargaining coverage rate (%),CYP - OS - Estimations based on legislation,2014,47.7,,
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2000,48,Collective bargaining coverage: Adjusted for the right to collective bargaining,Reference group coverage: Employees
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2001,38.3,Collective bargaining coverage: Adjusted for the right to collective bargaining,Reference group coverage: Employees
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2002,43,Collective bargaining coverage: Adjusted for the right to collective bargaining,Reference group coverage: Employees
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2003,46,Collective bargaining coverage: Adjusted for the right to collective bargaining,Reference group coverage: Employees
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2004,43.4,Collective bargaining coverage: Adjusted for the right to collective bargaining,Reference group coverage: Employees
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2005,41.6,Collective bargaining coverage: Adjusted for the right to collective bargaining,Reference group coverage: Employees
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2006,50.1,Collective bargaining coverage: Adjusted for the right to collective bargaining,Reference group coverage: Employees
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2007,50.2,Collective bargaining coverage: Adjusted for the right to collective bargaining,Reference group coverage: Employees
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2008,49.6,Collective bargaining coverage: Adjusted for the right to collective bargaining,Reference group coverage: Employees
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2009,44.3,Collective bargaining coverage: Adjusted for the right to collective bargaining,Reference group coverage: Employees
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2010,51.1,Collective bargaining coverage: Adjusted for the right to collective bargaining,Reference group coverage: Employees
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2011,49.2,Collective bargaining coverage: Adjusted for the right to collective bargaining,Reference group coverage: Employees
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2012,49.7,Collective bargaining coverage: Adjusted for the right to collective bargaining,Reference group coverage: Employees
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2013,48.9,Collective bargaining coverage: Adjusted for the right to collective bargaining,Reference group coverage: Employees
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2014,45.4,Collective bargaining coverage: Adjusted for the right to collective bargaining,Reference group coverage: Employees
Czechia,Collective bargaining coverage rate (%),"CZE - ADM-CA - Collective agreements by ¿MKOS, enterprise and higher-order agreements",2015,46.3,Collective bargaining coverage: Adjusted for the right to collective bargaining,Reference group coverage: Employees
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2000,67.8,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2001,68.8,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2002,67.8,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2003,67.6,Collective bargaining coverage: Adjusted for the right to collective bargaining,
Germany,Collective bargaining coverage rate (%),DEU - ES - Establishment survey,2004,65.8,Collective bargaining coverage: Adjusted for the right to collective bargaining,
